ID,Time,
1TOP224X1G901E4AFH,12:10:00,FALSE
1TOP2L4X19BLSCRAFF,11:35:57,23:33:03
1TOP2L4X19BLSCRAFF,11:09:00,FALSE
1TOP3OMX1G5FCEIAFC,12:14:05,22:53:55
1TOP3OMX1G5FCEIAFC,11:08:00,FALSE
1TOP4CVX1648BNAAFM,10:40:00,0:37:00
1TOP4CVX1648BNAAFM,11:17:00,FALSE
1TOP4QMX1FLF93LAA2,11:24:00,0:05:00
1TOP4QMX1FLF93LAA2,11:29:00,FALSE
1TOP6JUX15OM4UUAA7,11:36:36,23:53:24
1TOP6JUX15OM4UUAA7,11:30:00,0:32:00
1TOP6JUX15OM4UUAA7,12:02:00,0:27:22
1TOP6JUX15OM4UUAA7,12:29:22,FALSE
1TOP8KBX1FADDTQAFQ,12:06:11,0:40:49
1TOP8KBX1FADDTQAFQ,12:47:00,FALSE
1TOP90EX1G5CA3BAM2,11:57:36,0:27:33
1TOP90EX1G5CA3BAM2,12:25:09,FALSE
1TOP9NKX1GA0539AAN,11:44:00,0:08:00
1TOP9NKX1GA0539AAN,11:52:00,FALSE
1TOPAIGX1G2QM3ENFP,10:40:00,0:36:00
1TOPAIGX1G2QM3ENFP,11:16:00,FALSE
1TOPAK0X1G70Q2DAFV,11:13:00,FALSE
1TOPCO7X1E0PQKIAF7,11:47:00,0:39:13
1TOPCO7X1E0PQKIAF7,12:26:13,FALSE
1TOPF45X15QFUHPAF7,11:39:00,0:05:00
1TOPF45X15QFUHPAF7,11:44:00,FALSE
1TOPHLGX1G7V5SUAFU,10:45:00,0:21:43
1TOPHLGX1G7V5SUAFU,11:06:43,FALSE
1TOPKMCX1FS9TRVAFU,10:46:00,FALSE
1TOPLD3X1G30CA1AME,12:45:16,23:18:44
1TOPLD3X1G30CA1AME,12:04:00,FALSE
1TOPM1UX1GD13ENAAD,11:04:00,0:20:00
1TOPM1UX1GD13ENAAD,11:24:00,FALSE
1TOPMLAX1GC9RC5AF7,10:42:00,0:58:00
